Time,Force,Force_Derivative,Angle,Angle_Derivative,Gait_Progress,Phase
0.9766414165496826,0.4614522471826545,0.25873479924594367,-3.2361745605967913,0.1439917802935422,0.0,stance_phase
0.9816055297851562,0.5174695984918873,0.05655103430771444,-3.203727164237409,-0.023039133235927434,0.5454545454545454,stance_phase
0.9953174591064453,0.5745543157980834,0.04019007737932473,-3.282252827068646,-0.32422044824088925,1.0909090909090908,stance_phase
1.0034618377685547,0.5978497532505368,0.026466896215573688,-3.8521680607191877,-0.6353863452508315,1.6363636363636362,stance_phase
1.012599229812622,0.6274881082292307,0.024887142913822213,-4.553025517570309,-0.9144876420703159,2.1818181818181817,stance_phase
1.0229125022888184,0.6476240390781812,0.018553058614745654,-5.681143344859819,-1.0096644450749732,2.727272727272727,stance_phase
1.032726526260376,0.664594225458722,0.026482128698573137,-6.572354407720256,-0.8271841688633965,3.2727272727272725,stance_phase
1.0453977584838867,0.7005882964753275,0.031242067715851918,-7.3355116825866125,-0.4095483394493047,3.818181818181818,stance_phase
1.0519516468048096,0.7270783608904259,0.021208182014234578,-7.391451086618865,-0.0456712011172824,4.363636363636363,stance_phase
1.0634710788726807,0.7430046605037967,0.01487087743164045,-7.426854084821177,0.08057192876773778,4.909090909090908,stance_phase
1.074028730392456,0.7568201157537068,0.05874430769647565,-7.230307229083389,0.2063010365528406,5.454545454545454,stance_phase
1.0836095809936523,0.860493275896748,0.07725295549020611,-7.014252011715496,0.22289112611698503,6.0,stance_phase
1.0924217700958252,0.911326026734119,0.04079320955151522,-6.784524976849419,0.1905346145289175,6.545454545454545,stance_phase
1.1029548645019531,0.9420796949997784,0.036572627730604546,-6.633182782657661,0.22036428567853195,7.09090909090909,stance_phase
1.1171865463256836,0.9844712821953281,0.02811903207893318,-6.3437964054923555,0.3391653230482694,7.636363636363636,stance_phase
1.1244874000549316,0.9983177591576448,0.007764358902335955,-5.954852136561122,0.5062294365800826,8.181818181818182,stance_phase
1.134993553161621,1.0,0.0008411204211776213,-5.33133753233219,0.6268276283486882,8.727272727272727,stance_phase
1.1449615955352783,1.0,0.0,-4.701196879863746,0.6182010066784849,9.272727272727272,stance_phase
1.1545684337615967,1.0,-0.010411292175242615,-4.094935518975221,0.7482493263971819,9.818181818181817,stance_phase
1.1677272319793701,0.9791774156495148,-0.014547265772116902,-3.204698227069382,0.8126203857828589,10.363636363636363,stance_phase
1.1770265102386475,0.9709054684557662,-0.010888626805326762,-2.469694747409503,0.5271386936460454,10.909090909090908,stance_phase
1.1863453388214111,0.9574001620388612,-0.017169214605548877,-2.1504208397772913,0.32343044342434757,11.454545454545453,stance_phase
1.198089361190796,0.9365670392446684,-0.015079195595258998,-1.8228338605608077,0.37837566175071213,12.0,stance_phase
1.2096827030181885,0.9272417708483432,-0.011419511578977026,-1.393669516275867,0.47210308511141674,12.545454545454545,stance_phase
1.2198667526245117,0.9137280160867144,-0.020842414215446914,-0.8786276903379742,0.48831540661386114,13.09090909090909,stance_phase
1.227731704711914,0.8855569424174494,-0.02189272181963997,-0.4170387030481447,0.588638035387832,13.636363636363635,stance_phase
1.2409346103668213,0.8699425724474344,-0.015615935991841745,0.29864838043768993,0.5956341158813738,14.18181818181818,stance_phase
1.2505993843078613,0.8543250704337659,-0.01561906827064341,0.774229528714603,0.4145925395823877,14.727272727272727,stance_phase
1.2586524486541748,0.8387044359061476,-0.016145789231219565,1.1278334596024653,0.39319578255470333,15.272727272727272,stance_phase
1.270235300064087,0.8220334919713268,-0.0182435371168142,1.5606210938240097,0.39315796312613804,15.818181818181817,stance_phase
1.2814369201660156,0.8022173616725192,-0.02243658094500184,1.9141493858547414,0.3280549862665729,16.363636363636363,stance_phase
1.2913928031921387,0.7771603300813231,-0.022440814960186406,2.2167310663571556,0.3268155700327998,16.909090909090907,stance_phase
1.3016290664672852,0.7573357317521464,-0.016160000980150302,2.567780525920341,0.3654616442653573,17.454545454545453,stance_phase
1.3116698265075684,0.7448403281210225,-0.015115907504434645,2.94765435488787,0.3510368037989129,18.0,stance_phase
1.321138620376587,0.7271039167432771,-0.012499164177647348,3.269854133518167,0.40187907398883227,18.545454545454543,stance_phase
1.334003210067749,0.7198419997657278,-0.009358466357493933,3.7514125028655347,0.4471423978052296,19.09090909090909,stance_phase
1.3434677124023438,0.7083869840282893,-0.013028186765215222,4.164138929128626,0.40211620081290556,19.636363636363633,stance_phase
1.3546571731567383,0.6937856262352974,-0.015650940970519056,4.555644904491346,0.37261553302507133,20.18181818181818,stance_phase
1.3653435707092285,0.6770851020872511,-0.015653973661611198,4.909369995178769,0.38145588284128973,20.727272727272727,stance_phase
1.375152587890625,0.662477678912075,-0.014084722945487904,5.318556670173925,0.3440605247507258,21.27272727272727,stance_phase
1.386265754699707,0.6489156561962753,-0.01146651466319637,5.59749104468022,0.20247396024488618,21.818181818181817,stance_phase
1.3944377899169922,0.6395446495856822,-0.01094475510867643,5.723504590663698,0.23362122771106586,22.363636363636363,stance_phase
1.4071691036224365,0.6270261459789225,-0.013044080565684568,6.064733500102352,0.27914449806603514,22.909090909090907,stance_phase
1.416511058807373,0.6134564884543131,-0.01252226931697803,6.281793586795768,0.1548035524863831,23.454545454545453,stance_phase
1.4261329174041748,0.6019816073449664,-0.009378325119744124,6.374340605075118,0.09265036013382844,24.0,stance_phase
1.437157392501831,0.5946998382148249,-0.014625207972441934,6.467094307063425,0.08383801940928493,24.545454545454543,stance_phase
1.447493553161621,0.5727311914000826,-0.012529278682339884,6.542016643893688,0.03993730993105471,25.09090909090909,stance_phase
