time_stamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
1027,3.44,3.88,1.44,-2.35,3.83,8.55
1038,4.94,4.44,-0.25,-2.58,3.79,8.50
1051,6.50,5.50,-1.75,-2.60,3.93,8.29
1060,6.25,6.69,-2.62,-2.59,3.87,8.43
1067,6.25,6.69,-2.62,-2.59,3.87,8.43
1077,6.19,7.06,-3.06,-2.61,3.78,8.41
1087,7.25,8.44,-3.50,-2.72,3.65,8.53
1110,9.69,10.88,-3.38,-2.93,3.75,8.23
1117,9.69,10.88,-3.38,-2.93,3.75,8.23
1127,10.38,12.94,-3.56,-2.80,3.88,8.37
1138,11.88,13.50,-3.75,-2.58,3.73,8.15
1151,15.38,14.44,-4.06,-2.85,3.93,8.35
1161,16.31,14.12,-3.50,-2.64,3.85,8.22
1167,16.31,14.12,-3.50,-2.64,3.85,8.22
1177,17.75,16.00,-4.19,-2.68,3.95,8.39
1187,18.56,16.50,-4.81,-2.79,3.95,8.05
1210,24.69,22.44,-4.81,-2.72,3.85,8.18
1217,24.69,22.44,-4.81,-2.72,3.85,8.18
1227,27.50,26.56,-5.19,-2.70,4.07,8.23
1237,29.06,28.62,-5.94,-2.84,3.96,8.20
1261,36.56,40.75,-11.00,-3.35,4.11,7.75
1267,36.56,40.75,-11.00,-3.35,4.11,7.75
1277,37.75,46.50,-13.75,-3.28,3.76,7.65
1290,47.00,55.50,-17.19,-2.84,4.73,7.98
1310,50.38,65.06,-18.81,-2.05,4.66,6.74
1317,50.38,65.06,-18.81,-2.05,4.66,6.74
1327,47.06,73.88,-25.38,-3.00,5.17,8.15
1340,50.38,84.81,-33.44,-3.89,5.10,7.62
1351,54.19,90.00,-38.19,-4.18,5.76,7.64
1360,44.88,94.12,-39.00,-3.32,4.67,8.23
1367,44.88,94.12,-39.00,-3.32,4.67,8.23
1377,29.00,103.69,-42.75,-3.86,4.63,7.54
1390,30.81,126.94,-53.06,-5.01,5.68,6.74
1401,17.56,138.50,-57.56,-4.25,4.89,7.68
1410,14.50,148.25,-62.81,-3.71,4.89,7.44
1417,14.50,148.25,-62.81,-3.71,4.89,7.44
1427,16.94,165.31,-72.19,-4.60,4.85,7.77
1440,20.12,201.44,-81.06,-4.91,4.95,8.39
1452,29.56,218.62,-87.31,-5.56,5.48,10.17
1460,37.25,226.31,-93.81,-7.14,5.04,10.03
1467,37.25,226.31,-93.81,-7.14,5.04,10.03
1477,61.56,227.88,-98.44,-5.50,5.74,9.60
1490,95.06,258.56,-121.44,-5.60,4.46,8.97
1501,113.06,280.56,-133.12,-6.89,6.02,8.91
1510,116.81,298.25,-145.31,-8.21,4.34,9.48
1517,116.81,298.25,-145.31,-8.21,4.34,9.48
1527,120.81,322.12,-140.12,-5.37,4.49,7.38
1540,166.38,356.75,-153.94,-8.92,-3.16,7.94
1551,270.12,380.50,-186.50,-13.65,1.13,7.79
1560,398.31,359.62,-199.94,-14.75,13.35,9.87
1567,398.31,359.62,-199.94,-14.75,13.35,9.87
1577,235.69,242.81,-171.25,-31.77,22.48,40.08
1590,-42.88,-177.94,19.12,-7.20,12.62,19.52
1610,-81.69,-301.06,14.62,2.17,-1.14,4.12
1617,-81.69,-301.06,14.62,2.17,-1.14,4.12
1627,-97.06,-270.56,5.12,2.33,-4.17,3.87
1640,-0.44,-256.69,36.81,2.15,6.37,3.14
1651,-18.81,-257.88,76.69,1.73,6.77,3.13
1660,-45.56,-245.75,99.06,0.37,10.55,3.92
1667,-45.56,-245.75,99.06,0.37,10.55,3.92
1677,-91.00,-252.19,127.75,-0.86,3.74,4.09
1690,-98.25,-227.69,112.94,-1.82,0.24,3.80
1702,-87.69,-227.88,115.81,-1.49,0.07,3.96
1710,-62.44,-225.12,114.00,-4.26,3.29,5.96
1717,-62.44,-225.12,114.00,-4.26,3.29,5.96
1727,-71.75,-219.31,104.06,-6.26,2.79,7.46
1740,-57.88,-241.00,94.06,-6.12,5.12,6.69
1752,-49.12,-247.44,95.44,-6.13,6.70,6.75
1761,-51.62,-239.50,99.62,-7.43,7.58,7.66
1767,-51.62,-239.50,99.62,-7.43,7.58,7.66
1777,-58.81,-231.69,108.69,-8.39,8.47,8.43
1791,-73.06,-233.50,120.38,-1.96,-0.01,-0.01
1808,-76.19,-233.88,121.88,-10.10,7.98,10.43
1811,-84.31,-234.69,124.38,-8.70,4.84,7.78
1817,-84.31,-234.69,124.38,-8.70,4.84,7.78
1827,-83.12,-228.56,125.44,-9.16,6.53,7.98
1840,-78.44,-196.00,121.19,-10.02,7.08,8.97
1858,-70.88,-182.06,120.81,-11.90,9.76,11.17
1861,-60.38,-174.31,124.00,-13.18,11.44,11.93
1867,-60.38,-174.31,124.00,-13.18,11.44,11.93
1877,-68.44,-174.62,128.38,-13.18,10.65,11.40
1892,-71.56,-177.81,131.31,-11.96,7.17,8.31
1908,-66.19,-173.56,128.19,-11.61,6.40,7.98
1910,-64.12,-166.81,123.00,-11.29,5.05,7.36
1917,-64.12,-166.81,123.00,-11.29,5.05,7.36
